"Cancel","Cancel"
"Sorry, no products found for this criteria.","Sorry, no products found for this criteria."
"Sorry, no products found in this category.","Sorry, no products found in this category."
"Please select a category.","Please select a category."
"Sure, send me the name of the product you're looking for.","Sure, send me the name of the product you're looking for"
"Add to cart","Add to cart"
"Visit product's page","Visit product's page"
"Command","Command"
"Enable Command","Enable Command"
"Command Code","Command Code"
"Command Alias (Separated by Comma)","Command Alias (Separated by Comma)"
"Add","Add"
"Enable","Enable"
"List Categories","List Categories"
"List More","List More"
"Search For Product","Search For Product"
"Login","Login"
"List Orders","List Orders"
"Reorder","Reorder"
"Add Product to Cart","Add Product to Cart"
"Checkout on Website","Checkout on Website"
"Clear Cart","Clear Cart"
"Track Order Status","Track Order Status"
"Talk to Support","Talk to Support"
"Send Email","Send Email"
"Help","Help"
"About","About"
"Logout","Logout"
"Register","Register"
"Enable Reply","Enable Reply"
"wit.ai entity","wit.ai entity"
"Acceptable Confidence (%)","Acceptable Confidence (%)"
"Stop Processing","Stop Processing"
"Reply Mode","Reply Mode"
"Reply Text","Reply Text"
"No Reply","No Reply"
"Text Only","Text Only"
"Command Only","Command Only"
"Text and Command","Text and Command"
"Please check your Hub Verify Token.","Please check your Hub Verify Token."
"Mapped Command","Mapped Command"
"Ok, canceled.","Ok, canceled."
"Access %1 to register a new account on our shop.","Access %1 to register a new account on our shop."
"Not informed","Not informed"
"Message from chatbot customer","Message from chatbot customer"
"Customer name","Customer name"
"Message","Message"
"Contacts","Contacts"
"Chatbot","Chatbot"
"Email","Email"
"Contact from chatbot","Contact from chatbot"
"Sure, send me the email content.","Sure, send me the email content."
"Sorry, I wasn't able to send an email this time. Please try again later.","Sorry, I wasn't able to send an email this time. Please try again later."
"Email sent.","Email sent."
"Sorry, I didn't understand that.","Sorry, I didn't understand that."
"You are already logged.","You are already logged."
"You are already registered.","You are already registered."
"Receive Promotional Messages?","Receive Promotional Messages?"
"Enable Messenger?","Enable Messenger?"
"Chatbot Settings","Chatbot Settings"
"Chatbot settings saved successfully.","Chatbot settings saved successfully."
"Something went wrong, please try again.","Something went wrong, please try again."
"You still haven't chat with our Chatbot.","You still haven't chat with our Chatbot."
"You haven't changed any data in the settings.","You haven't changed any data in the settings."
"Invalid URL hash, please try again.","Invalid URL hash, please try again."
"Ok, you're logged out.","Ok, you're logged out."
"This account has no orders.","This account has no orders."
"Ok, send me the order number you're looking for.","Ok, send me the order number you're looking for."
"Sorry, we couldn't find any order with this information.","Sorry, we couldn't find any order with this information."
"Ok, I just add the product to your cart, to checkout send '%1'.","Ok, I just add the product to your cart, to checkout send '%1'."
"Cart cleared.","Cart cleared."
"If you want to reorder one of these orders choose it below.","If you want to reorder one of these orders choose it below."
"All products from order %1 that are in stock were added to your cart.","All products from order %1 that are in stock were added to your cart."
"Your cart is empty.","Your cart is empty."
"Product:","Product:"
"Price:","Price:"
"Quantity:","Quantity:"
"Subtotal:","Subtotal:"
"Subtotal (Tax Incl.):","Subtotal (Tax Incl.):"
"To chat with me, please enable Messenger on your account chatbot settings.","To chat with me, please enable Messenger on your account chatbot settings."
"To list more send '%1'.","To list more send '%1'."
"No more items to list.","No more items to list."
"This category doesn't seems to exist. Please try again.","This category doesn't seems to exist. Please try again."
"Action","Action"
"Add ChatbotAPI","Add ChatbotAPI"
"Add ChatbotUser","Add ChatbotUser"
"Add Message","Add Message"
"An error occurred while updating the chatbotapis.","An error occurred while updating the chatbotapis."
"An error occurred while updating the chatbotusers.","An error occurred while updating the chatbotusers."
"An error occurred while updating the messages.","An error occurred while updating the messages."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change Enable Promotional Messages","Change Enable Promotional Messages"
"Change Enable Support","Change Enable Support"
"Change Enabled?","Change Enabled?"
"Change Is Admin?","Change Is Admin?"
"Change Logged?","Change Logged?"
"Change status","Change status"
"Chat ID","Chat ID"
"Chat Message ID","Chat Message ID"
"Chatbot Type","Chatbot Type"
"ChatbotAPI ID","ChatbotAPI ID"
"ChatbotAPI was saved","ChatbotAPI was saved"
"ChatbotAPI was successfully deleted.","ChatbotAPI was successfully deleted."
"ChatbotAPI was successfully saved","ChatbotAPI was successfully saved"
"ChatbotAPI","ChatbotAPI"
"ChatbotAPIs","ChatbotAPIs"
"ChatbotUser ID","ChatbotUser ID"
"ChatbotUser was saved","ChatbotUser was saved"
"ChatbotUser was successfully deleted.","ChatbotUser was successfully deleted."
"ChatbotUser was successfully saved","ChatbotUser was successfully saved"
"ChatbotUser","ChatbotUser"
"ChatbotUsers","ChatbotUsers"
"Chatbotuser ID","Chatbotuser ID"
"Content Type","Content Type"
"Content","Content"
"Conversation State","Conversation State"
"Could not find chatbotapi to delete.","Could not find chatbotapi to delete."
"Could not find chatbotuser to delete.","Could not find chatbotuser to delete."
"Could not find message to delete.","Could not find message to delete."
"Created at","Created at"
"Current Command Details","Current Command Details"
"Delete ChatbotAPI","Delete ChatbotAPI"
"Delete ChatbotUser","Delete ChatbotUser"
"Delete Message","Delete Message"
"Delete","Delete"
"Direction","Direction"
"Disabled","Disabled"
"Edit ChatbotAPI '%s'","Edit ChatbotAPI '%s'"
"Edit ChatbotUser '%s'","Edit ChatbotUser '%s'"
"Edit Message '%s'","Edit Message '%s'"
"Edit","Edit"
"Enable Promotional Messages","Enable Promotional Messages"
"Enable Support","Enable Support"
"Enabled","Enabled"
"Enabled?","Enabled?"
"Error saving chatbotapi","Error saving chatbotapi"
"Error saving chatbotuser","Error saving chatbotuser"
"Error saving message","Error saving message"
"Excel","Excel"
"Fallback Quantity","Fallback Quantity"
"Hash Key","Hash Key"
"Home","Home"
"Id","Id"
"Is Admin?","Is Admin?"
"Last Command Details","Last Command Details"
"Logged?","Logged?"
"Message ID","Message ID"
"Message Payload","Message Payload"
"Message was saved","Message was saved"
"Message was successfully deleted.","Message was successfully deleted."
"Message was successfully saved","Message was successfully saved"
"Message","Message"
"Messages","Messages"
"No","No"
"None","None"
"Please select chatbotapis to delete.","Please select chatbotapis to delete."
"Please select chatbotapis.","Please select chatbotapis."
"Please select chatbotusers to delete.","Please select chatbotusers to delete."
"Please select chatbotusers.","Please select chatbotusers."
"Please select messages to delete.","Please select messages to delete."
"Please select messages.","Please select messages."
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save ChatbotAPI","Save ChatbotAPI"
"Save ChatbotUser","Save ChatbotUser"
"Save Message","Save Message"
"Sender ID","Sender ID"
"Sent At","Sent At"
"Session ID","Session ID"
"Status","Status"
"Store views","Store views"
"The chatbotapis has been deleted.","The chatbotapis has been deleted."
"The chatbotusers has been deleted.","The chatbotusers has been deleted."
"The messages has been deleted.","The messages has been deleted."
"There was a problem saving the chatbotapi.","There was a problem saving the chatbotapi."
"There was a problem saving the chatbotuser.","There was a problem saving the chatbotuser."
"There was a problem saving the message.","There was a problem saving the message."
"There was an error deleting chatbotapi.","There was an error deleting chatbotapi."
"There was an error deleting chatbotapis.","There was an error deleting chatbotapis."
"There was an error deleting chatbotuser.","There was an error deleting chatbotuser."
"There was an error deleting chatbotusers.","There was an error deleting chatbotusers."
"There was an error deleting message.","There was an error deleting message."
"There was an error deleting messages.","There was an error deleting messages."
"There was an error updating chatbotapis.","There was an error updating chatbotapis."
"There was an error updating chatbotusers.","There was an error updating chatbotusers."
"There was an error updating messages.","There was an error updating messages."
"This chatbotapi no longer exists.","This chatbotapi no longer exists."
"This chatbotuser no longer exists.","This chatbotuser no longer exists."
"This message no longer exists.","This message no longer exists."
"Total of %d chatbotapis were successfully deleted.","Total of %d chatbotapis were successfully deleted."
"Total of %d chatbotapis were successfully updated.","Total of %d chatbotapis were successfully updated."
"Total of %d chatbotusers were successfully deleted.","Total of %d chatbotusers were successfully deleted."
"Total of %d chatbotusers were successfully updated.","Total of %d chatbotusers were successfully updated."
"Total of %d messages were successfully deleted.","Total of %d messages were successfully deleted."
"Total of %d messages were successfully updated.","Total of %d messages were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find chatbotapi to save.","Unable to find chatbotapi to save."
"Unable to find chatbotuser to save.","Unable to find chatbotuser to save."
"Unable to find message to save.","Unable to find message to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"
